1. symbol,2. name,3. fcas rating,4. fcas score,5. developer score,6. market maturity score,7. utility score,8. last refreshed,9. timezone
EDG,Edgeless,Fragile,135,275,281,50,2021-04-26 00:00:00,UTC
ELA,Elastos,Basic,710,833,751,544,2021-04-26 00:00:00,UTC
ELEC,Electrify.Asia,Fragile,228,275,599,216,2021-04-26 00:00:00,UTC
ELF,aelf,Caution,610,683,851,472,2021-04-26 00:00:00,UTC
EMC2,Einsteinium,Fragile,302,238,729,300,2021-04-26 00:00:00,UTC
ENG,Enigma,Caution,558,801,716,226,2021-04-26 00:00:00,UTC
ENJ,Enjin Coin,Basic,736,560,872,930,2021-04-26 00:00:00,UTC
EOS,EOS,Superb,909,903,863,927,2021-04-26 00:00:00,UTC
ETC,Ethereum Classic,Attractive,810,783,856,835,2021-04-26 00:00:00,UTC
ETH,Ethereum,Superb,969,962,879,995,2021-04-26 00:00:00,UTC
ETN,Electroneum,Caution,518,475,668,543,2021-04-26 00:00:00,UTC
ETP,Metaverse ETP,Caution,536,639,646,387,2021-04-26 00:00:00,UTC
EVE,Devery,Fragile,215,341,259,51,2021-04-26 00:00:00,UTC
EVX,Everex,Fragile,379,435,731,241,2021-04-26 00:00:00,UTC
EXP,Expanse,Fragile,337,383,434,262,2021-04-26 00:00:00,UTC
FCT,Factom,Fragile,310,480,475,66,2021-04-26 00:00:00,UTC
FTC,Feathercoin,Fragile,305,324,477,250,2021-04-26 00:00:00,UTC
FUEL,Etherparty,Fragile,225,327,487,48,2021-04-26 00:00:00,UTC
FUN,FunFair,Basic,665,645,764,671,2021-04-26 00:00:00,UTC
GAME,GameCredits,Fragile,290,214,668,312,2021-04-26 00:00:00,UTC
GAS,Gas,Attractive,853,873,796,840,2021-04-26 00:00:00,UTC
GNO,Gnosis,Basic,737,941,680,494,2021-04-26 00:00:00,UTC
GNT,Golem,Basic,705,899,200,562,2021-04-26 00:00:00,UTC
GRC,GridCoin,Caution,596,790,438,387,2021-04-26 00:00:00,UTC
GRS,Groestlcoin,Caution,512,524,819,437,2021-04-26 00:00:00,UTC
GTC,Game.com,Fragile,162,250,605,55,2021-04-26 00:00:00,UTC
GTO,Gifto,Fragile,235,400,821,189,2021-04-26 00:00:00,UTC
GUP,Matchpool,Fragile,171,159,100,51,2021-04-26 00:00:00,UTC
GVT,Genesis Vision,Fragile,463,533,773,315,2021-04-26 00:00:00,UTC
HMQ,Humaniq,Fragile,146,157,493,65,2021-04-26 00:00:00,UTC
HPB,High Performance Blockchain,Fragile,387,584,695,81,2021-04-26 00:00:00,UTC
HVN,Hiveterminal Token,Fragile,394,300,608,620,2021-04-26 00:00:00,UTC
ICX,ICON,Caution,512,600,849,860,2021-04-26 00:00:00,UTC
INK,Ink,Fragile,248,162,539,300,2021-04-26 00:00:00,UTC
INS,Insolar,Fragile,337,285,362,399,2021-04-26 00:00:00,UTC
INT,Internet Node Token,Fragile,357,568,691,31,2021-04-26 00:00:00,UTC
IOC,I/O Coin,Fragile,264,257,391,250,2021-04-26 00:00:00,UTC
IOST,IOST,Caution,622,617,836,586,2021-04-26 00:00:00,UTC
